state,annual_growth_rate,pop_2011_000s,pop_2026_000s
India,0.010841,1210855,1423435
Jammu & Kashmir,0.008347,12267,13896
Himachal Pradesh,0.006618,6865,7579
Punjab,0.008113,27743,31318
Haryana,0.01415,25351,31299
NCT of Delhi,0.019836,16788,22540
Rajasthan,0.013356,68548,83642
Uttar Pradesh,0.013092,199812,242859
Bihar,0.016092,104099,132265
Assam,0.010901,31206,36717
West Bengal,0.006453,91276,100522
Jharkhand,0.014531,32988,40958
Odisha,0.004169,41974,44677
Chhattisgarh,0.013445,25545,31211
Madhya Pradesh,0.014155,72627,89673
Gujarat,0.013664,60440,74086
Maharashtra,0.009402,112374,129308
Andhra Pradesh,0.005351,49577,53709
Karnataka,0.008108,61095,68962
Kerala,0.005382,33406,36207
Tamil Nadu,0.004823,72147,77546
Telangana,0.006603,35004,38636
Uttarakhand,0.011612,10086,11993
Chandigarh,0.012282,1055,1267
Sikkim,0.009872,611,708
Arunachal Pradesh,0.009883,1384,1604
Nagaland,0.009896,1979,2294
Manipur,0.009904,2856,3311
Mizoram,0.009916,1097,1272
Tripura,0.009915,3674,4260
Meghalaya,0.00991,2967,3440
Daman & Diu,0.073591,243,705
Dadra & Nagar Haveli,0.060986,344,836
Goa,0.006127,1459,1599
Lakshadweep,0.005992,64,70
Puducherry,0.023066,1248,1757
Andaman & Nicobar Islands,0.004246,381,406
Ladakh,0.007171,274,305